报告,日期,主题,核心结论,关键数据,状态
threshold-retest-2026-08-22.md,2026-08-22,W4A4翻案与采纳,昨日-22.5%系重启级模式方差混杂；2048三对交错3/3正向；4096探路显著正向,2048合并4K+6.4%/16K+11.1%；4096两臂2849/2851(+12%)零慢轮,✅完成
threshold-4096-adoption-2026-08-22.md,2026-08-22,W4A4翻案与采纳,threshold4096生产采纳成功四机固化,PR四档+13.5%/+13.2%/+12.6%/+8.5%；DE归一无回退,✅完成
ws-dedup-patch-2026-08-22/ws-dedup-patch-2026-08-22.md,2026-08-22,W4A4翻案与采纳,b12x wrapper几何键共享池补丁L1 24/24+L2 GPU 16/16全过,每wrapper workspace 455MiB；43层去重预期省13-27GB,✅完成
wsdedup-l3-combo-2026-08-23.md,2026-08-23,W4A4翻案与采纳,W4A4翻案成立P2的-13%系threshold1024时代形态误差,weight 68.15→45.32GiB(省22.83)；PR4K2982(+8.3%)；KV-51%→-8.5%,✅完成
w4a4-ext-2026-08-23.md,2026-08-23,W4A4翻案与采纳,W4A4并发增益成立且大于单流；threshold8192干净否决,并发C6+11.5%/C12+13.0%；单流4K+8.1%；8192 KV3.48M跌破底线,✅完成
a3-hybrid-slim-design-2026-08-23.md,2026-08-23,b' native共享路线,旧结论payload共享不可行被源码推翻；b' native共享路线设计就绪,hybrid weight79.82→~45.3GiB；KV1.53M→~5.48M；工作量2-4天,✅完成
bprime-impl-2026-08-23/,2026-08-23,b' native共享路线,b'三处规格改动+两处勘察新增实现L1全绿,native主GEMM M=8/64与packed逐位相等(max_rel=0.0)；新发现e8m0×micro缺陷,✅完成
bprime-window-2026-08-23.md,2026-08-23,b' native共享路线,N1门FAIL→b' No-Go；内存收益兑现但native staging否决decode,内存门过45.32GiB/5.54M；DEC1-25%/C12-34%；mid-M曲线1.61×~1.14×,⛔No-Go
luz031-deployment-2026-08-23.md,2026-08-23,LuZ0.3.1生产落地,LuZ0.3.1(=B2+util0.82)采纳成立生产全绿；发现并修复FI0.6.16误回滚,PR+6.6~+15.1%；并发C6+11.4%/C12+11.6%；KV5.73M≥5.7M；补丁6/7；检查点镜像就位,✅完成
upstream-check-perf-ceiling-2026-08-23.md,2026-08-23,上游核对与性能上限,b12x1.2.6后零提交；FI0.6.17最对症；叙事切换为填满甜点区+削减墙下流量,全池转化PR+5~7%→~3160-3210；现实上限~3250-3350；routeB M=1024下探512-768,✅完成
